iter	Passed	Remaining
401	9029	13432
402	9041	13393
403	9051	13353
404	9062	13313
405	9072	13273
406	9081	13231
407	9089	13189
408	9100	13149
409	9112	13113
410	9124	13075
411	9138	13041
412	9149	13004
413	9161	12967
414	9168	12924
415	9176	12882
416	9187	12844
417	9197	12805
418	9205	12765
419	9215	12725
420	9223	12685
421	9232	12645
422	9243	12608
423	9251	12567
424	9259	12528
425	9268	12488
426	9279	12452
427	9288	12413
428	9301	12380
429	9312	12344
430	9322	12307
431	9333	12272
432	9346	12238
433	9357	12203
434	9368	12168
435	9386	12141
436	9399	12109
437	9411	12076
438	9427	12047
439	9442	12017
440	9455	11985
441	9462	11946
442	9472	11909
443	9481	11873
444	9493	11840
445	9511	11815
446	9521	11779
447	9534	11748
448	9544	11713
449	9554	11677
450	9564	11642
451	9574	11608
452	9616	11612
453	9631	11583
454	9643	11550
455	9654	11517
456	9664	11482
457	9673	11447
458	9689	11421
459	9704	11392
460	9712	11356
461	9720	11319
462	9731	11286
463	9741	11253
464	9752	11220
465	9761	11185
466	9772	11153
467	9785	11123
468	9796	11091
469	9806	11057
470	9817	11026
471	9826	10991
472	9838	10962
473	9848	10929
474	9860	10898
475	9880	10876
476	9891	10845
477	9900	10812
478	9910	10779
479	9921	10748
480	9932	10717
481	9944	10686
482	9956	10657
483	9975	10634
484	9991	10609
485	10003	10580
486	10017	10552
487	10035	10529
488	10047	10499
489	10065	10476
490	10078	10448
491	10087	10415
492	10096	10382
493	10105	10350
494	10114	10319
495	10125	10289
496	10136	10259
497	10149	10230
498	10163	10204
499	10180	10180
500	10213	10172
501	10227	10145
502	10245	10123
503	10258	10095
504	10270	10066
505	10287	10043
506	10299	10015
507	10310	9986
508	10329	9963
509	10341	9936
510	10357	9911
511	10380	9893
512	10399	9872
513	10415	9848
514	10447	9838
515	10462	9813
516	10482	9793
517	10500	9770
518	10528	9757
519	10541	9730
520	10553	9702
521	10567	9676
522	10581	9651
523	10596	9626
524	10612	9601
525	10624	9574
526	10634	9545
527	10646	9517
528	10657	9488
529	10669	9461
530	10683	9436
531	10702	9414
532	10735	9406
533	10750	9381
534	10780	9369
535	10799	9349
536	10814	9324
537	10824	9295
538	10835	9267
539	10847	9240
540	10860	9214
541	10873	9188
542	10894	9168
543	10915	9149
544	10928	9123
545	10940	9097
546	10953	9071
547	10966	9045
548	11011	9045
549	11022	9018
550	11043	8998
551	11054	8971
552	11063	8942
553	11072	8914
554	11082	8886
555	11092	8858
556	11101	8829
557	11111	8801
558	11119	8772
559	11127	8743
560	11136	8714
561	11144	8685
562	11152	8656
563	11162	8629
564	11172	8601
565	11180	8572
566	11188	8543
567	11195	8514
568	11203	8486
569	11211	8457
570	11219	8429
571	11227	8401
572	11235	8372
573	11242	8344
574	11251	8316
575	11259	8288
576	11268	8260
577	11277	8233
578	11285	8206
579	11294	8178
580	11301	8150
581	11309	8122
582	11318	8095
583	11325	8067
584	11333	8040
585	11341	8012
586	11350	7986
587	11358	7959
588	11367	7932
589	11375	7904
590	11382	7877
591	11389	7849
592	11397	7822
593	11405	7795
594	11413	7768
595	11420	7741
596	11429	7715
597	11437	7688
598	11446	7662
599	11457	7638
600	11467	7613
601	11477	7587
602	11485	7562
603	11494	7535
604	11503	7510
605	11511	7484
606	11518	7457
607	11527	7432
