iter	RMSE
630	2606.60378
631	2605.118948
632	2603.98551
633	2603.089069
634	2600.476258
635	2598.873587
636	2596.656211
637	2594.336607
638	2593.220278
639	2590.790609
640	2589.529697
641	2586.524501
642	2584.389125
643	2582.436717
644	2580.490708
645	2579.286937
646	2576.040725
647	2575.435473
648	2574.39928
649	2570.649909
650	2568.643099
651	2566.617615
652	2564.406434
653	2563.517407
654	2558.780245
655	2557.95353
656	2556.783775
657	2554.867724
658	2553.124044
659	2550.737634
660	2546.755848
661	2544.193914
662	2542.065328
663	2539.670756
664	2537.201099
665	2534.951915
666	2533.263371
667	2532.594548
668	2532.35081
669	2529.590554
670	2528.586918
671	2525.175038
672	2523.796865
673	2521.770921
674	2518.376562
675	2515.653916
676	2514.65121
677	2513.621692
678	2510.420218
679	2508.694294
680	2508.383005
681	2507.373115
682	2504.768151
683	2502.99807
684	2502.796011
685	2501.004976
686	2499.036377
687	2495.397242
688	2493.664301
689	2492.419081
690	2489.941253
691	2486.194688
692	2482.973761
693	2481.879139
694	2477.325916
695	2476.244233
696	2475.208212
697	2473.549238
698	2469.510439
699	2467.48778
700	2466.169271
701	2462.235813
702	2460.775236
703	2457.820014
704	2454.606127
705	2452.08757
706	2451.071938
707	2448.111184
708	2446.437032
709	2445.482196
710	2442.108925
711	2440.828279
712	2439.639929
713	2439.0049
714	2438.767667
715	2436.611252
716	2436.466765
717	2434.617458
718	2433.836688
719	2432.61919
720	2428.695717
721	2427.95742
722	2426.0573
723	2425.452413
724	2422.726014
725	2420.564263
726	2418.221227
727	2415.614736
728	2415.494006
729	2412.618207
730	2409.893982
731	2408.938225
732	2405.208389
733	2404.231787
734	2401.667706
735	2400.204049
736	2397.779748
737	2396.798914
738	2393.536902
739	2392.437589
740	2389.047916
741	2387.115844
742	2385.962928
743	2383.47352
744	2381.206855
745	2379.915561
746	2378.564019
747	2376.825668
748	2375.045251
749	2373.825703
750	2372.89996
751	2370.99239
752	2369.986714
753	2368.040255
754	2366.620798
755	2364.02285
756	2362.402712
757	2360.331715
758	2357.739266
759	2355.627952
760	2350.836294
761	2349.127133
762	2347.857619
763	2346.487301
764	2344.858992
765	2340.643588
766	2339.948924
767	2338.947176
768	2336.162111
769	2333.19956
770	2331.330945
771	2329.364073
772	2328.109594
773	2326.026371
774	2324.906254
775	2323.039673
776	2320.949801
777	2320.165249
778	2318.440663
779	2317.064102
780	2315.190657
781	2314.230074
782	2313.565001
783	2311.865762
784	2309.70569
785	2307.668275
786	2305.654471
787	2304.474053
788	2302.245282
789	2300.654978
790	2299.966517
791	2298.490396
792	2297.304235
793	2295.015544
794	2293.602887
795	2290.063179
796	2288.495602
797	2284.883444
798	2281.385357
799	2280.081904
800	2276.803472
801	2275.025696
802	2272.79329
803	2271.192252
804	2269.589221
805	2268.598261
806	2265.664302
807	2264.244828
808	2264.131988
809	2261.453356
810	2259.183715
811	2257.370851
812	2255.985494
813	2252.827375
814	2250.579712
815	2249.415581
816	2246.2418
817	2244.016406
818	2243.276807
819	2241.759867
820	2238.246808
821	2235.218224
822	2234.410676
823	2231.867328
824	2229.422251
825	2228.726533
826	2226.177364
827	2224.780935
828	2223.245258
829	2222.269239
830	2221.009446
831	2219.881409
832	2218.394385
833	2216.78903
834	2215.333365
835	2213.62468
836	2210.762569
837	2209.049575
838	2207.234921
839	2206.645449
840	2205.914659
841	2203.841269
842	2202.983181
843	2202.035201
844	2200.540617
845	2198.682135
846	2197.346971
847	2196.448467
848	2194.830583
849	2193.171123
850	2191.102236
851	2188.550625
852	2185.84507
853	2184.700211
854	2181.71859
855	2180.355732
856	2178.724866
857	2177.417843
858	2176.882308
859	2175.591846
860	2174.82554
861	2173.562027
862	2172.946847
863	2172.395905
864	2170.556656
865	2169.753297
866	2168.397754
867	2167.433489
868	2165.996651
869	2163.601115
870	2162.510258
871	2161.355438
872	2158.647157
873	2157.086922
874	2155.94542
875	2154.844922
876	2153.837408
877	2152.177008
878	2150.203187
879	2148.916601
880	2148.066093
881	2146.480313
882	2143.831602
883	2141.735899
884	2140.5836
885	2138.939249
886	2138.006846
887	2136.871125
888	2135.707743
889	2132.207497
890	2129.958446
891	2128.562196
892	2125.627892
893	2124.495835
894	2123.472068
895	2121.095138
896	2119.530365
897	2117.69565
898	2116.21533
899	2115.07811
900	2112.807674
901	2111.405957
902	2109.597933
903	2108.272169
904	2106.341616
905	2104.301987
906	2104.155714
907	2102.284791
908	2100.016018
909	2098.682014
910	2097.882885
911	2096.608615
912	2094.40571
913	2092.726922
914	2090.056114
915	2089.062858
916	2088.285614
917	2087.299212
918	2085.368444
919	2082.956047
920	2080.942021
921	2079.906586
922	2078.409613
923	2074.841402
924	2073.651228
925	2070.177098
926	2068.418347
927	2067.455749
928	2066.313923
929	2065.575446
930	2064.443465
931	2062.998806
932	2061.476901
933	2059.432714
934	2057.541251
935	2057.033448
936	2056.115763
937	2054.543869
938	2054.082536
939	2051.734023
940	2050.562239
941	2049.506447
942	2046.364221
943	2043.541796
944	2042.67065
945	2041.318822
946	2040.276147
947	2039.203817
948	2037.467534
949	2036.053834
950	2034.490717
951	2032.430163
952	2031.366046
953	2029.828502
954	2029.577493
955	2028.590202
956	2026.115116
957	2024.378173
958	2022.798382
959	2020.860463
960	2020.194949
961	2018.179707
962	2016.908646
963	2015.681081
964	2015.113516
965	2013.852695
966	2013.433196
967	2012.341625
968	2010.583217
969	2009.451568
970	2007.010802
971	2004.569377
972	2001.41713
973	1999.409155
974	1997.924837
975	1996.560116
976	1995.555643
977	1993.480973
978	1991.085435
979	1989.151245
980	1987.252977
981	1986.179251
982	1984.467376
983	1982.609768
984	1980.886217
985	1977.827648
986	1975.887286
987	1975.751726
988	1973.65955
989	1971.309725
990	1970.107304
991	1968.735441
992	1967.405094
993	1966.182029
994	1964.004536
995	1962.618268
996	1961.471371
997	1960.307624
998	1958.535639
999	1957.181551
473458
70.622558
